Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
NVDA;140.15;132.75;117.00;86.38;61.51;5.57;19.79;62.25;127.85
AAPL;227.77;225.40;221.28;169.50;183.26;1.05;2.93;34.38;24.29
MSFT;415.76;405.62;416.85;387.21;394.62;2.50;-0.26;7.37;5.36
AMZN;201.70;186.40;186.98;175.00;155.20;8.21;7.87;15.26;29.96
WMT;84.08;81.72;68.21;58.78;54.35;2.89;23.27;43.04;54.70
JPM;245.03;220.57;210.34;188.42;170.29;11.09;16.49;30.04;43.89
V;311.57;288.72;264.15;266.57;270.61;7.91;17.95;16.88;15.14
UNH;589.65;562.51;571.70;478.07;504.06;4.82;3.14;23.34;16.98
HD;410.44;391.37;363.41;327.95;344.03;4.87;12.94;25.15;19.30
PG;170.75;164.21;158.86;160.24;153.32;3.98;7.48;6.56;11.37
JNJ;154.77;158.66;155.40;141.28;154.03;-2.45;-0.41;9.55;0.48
CRM;322.25;290.91;257.99;267.75;279.85;10.77;24.91;20.35;15.15
CVX;159.14;145.69;155.52;154.61;139.87;9.23;2.33;2.93;13.78
KO;61.86;64.87;65.78;60.39;57.71;-4.64;-5.96;2.43;7.19
MRK;96.56;101.64;111.71;126.79;117.66;-5.00;-13.56;-23.84;-17.93
CSCO;57.31;54.35;47.67;45.85;48.60;5.45;20.22;24.99;17.92
MCD;291.10;290.42;262.16;268.18;285.80;0.23;11.04;8.55;1.85
DIS;113.54;96.20;93.26;110.59;95.30;18.02;21.75;2.67;19.14
AXP;285.54;269.38;251.63;232.01;198.36;6.00;13.48;23.07;43.95
IBM;206.46;203.33;187.13;160.40;175.26;1.54;10.33;28.72;17.80
GS;587.99;514.74;502.99;418.68;373.72;14.23;16.90;40.44;57.33
CAT;384.46;374.85;343.56;330.81;295.57;2.56;11.90;16.22;30.07
VZ;42.25;41.48;39.25;37.65;39.70;1.86;7.64;12.22;6.42
AMGN;276.55;315.42;325.24;265.91;302.66;-12.32;-14.97;4.00;-8.63
HON;227.73;203.56;201.57;188.70;196.87;11.87;12.98;20.68;15.68
NKE;74.89;76.79;74.24;91.17;99.99;-2.47;0.88;-17.86;-25.10
BA;143.87;149.31;190.60;167.84;211.04;-3.64;-24.52;-14.28;-31.83
SHW;374.66;357.39;348.66;297.12;301.16;4.83;7.46;26.10;24.41
MMM;129.48;127.11;125.32;93.28;75.06;1.86;3.32;38.81;72.50
TRV;262.69;244.87;214.43;209.24;207.31;7.28;22.51;25.54;26.71
