Symbol,EPS-1,EPS-2,EPS-3,EPS-4
AAPL,2.18,1.53,1.4,0.97
NVDA,0.516,0.612,0.68,0.81
MSFT,2.93,2.94,2.95,3.3
AMZN,1.0,0.98,1.26,1.43
JPM,3.04,4.44,6.12,4.37
WMT,0.6,0.6,0.67,0.58
V,2.41,2.51,2.42,2.71
UNH,6.16,6.91,6.8,7.15
HD,2.82,3.63,4.67,3.78
PG,1.84,1.52,1.4,1.93
JNJ,2.29,2.71,2.82,2.42
CRM,2.11,2.29,2.44,2.56
CVX,3.45,2.93,2.55,2.51
KO,0.49,0.72,0.84,0.77
MRK,0.03,2.07,2.28,1.57
CSCO,0.87,0.88,0.87,0.91
MCD,2.95,2.7,2.97,3.23
DIS,1.22,1.21,1.39,1.14
AXP,2.62,3.33,4.15,3.49
GS,5.48,11.58,8.62,8.4
IBM,3.87,1.68,2.43,2.3
CAT,5.23,5.6,5.99,5.17
VZ,1.08,1.15,1.15,1.19
AMGN,4.71,3.96,4.97,5.58
HON,2.6,2.25,2.49,2.58
NKE,1.03,0.77,0.99,0.7
BA,-0.47,-1.13,-2.9,-10.44
SHW,1.81,2.17,3.7,3.37
MMM,2.42,2.39,1.93,1.98
TRV,7.01,4.69,2.51,5.24
