Symbol,EPS-1,EPS-2,EPS-3,EPS-4,EPS-Rating
BA,-0.47,-1.13,-2.9,-10.44,99
TRV,7.01,4.69,2.51,5.24,96
IBM,3.87,1.68,2.43,2.3,92
AAPL,2.18,1.53,1.4,0.97,89
CVX,3.45,2.93,2.55,2.51,86
MMM,2.42,2.39,1.93,1.98,82
NKE,1.03,0.77,0.99,0.7,79
HON,2.6,2.25,2.49,2.58,76
DIS,1.22,1.21,1.39,1.14,73
WMT,0.6,0.6,0.67,0.58,69
PG,1.84,1.52,1.4,1.93,66
CSCO,0.87,0.88,0.87,0.91,63
CAT,5.23,5.6,5.99,5.17,59
VZ,1.08,1.15,1.15,1.19,56
MCD,2.95,2.7,2.97,3.23,53
JNJ,2.29,2.71,2.82,2.42,50
NVDA,0.516,0.612,0.68,0.81,46
V,2.41,2.51,2.42,2.71,43
KO,0.49,0.72,0.84,0.77,40
MSFT,2.93,2.94,2.95,3.3,36
AMZN,1.0,0.98,1.26,1.43,33
CRM,2.11,2.29,2.44,2.56,30
AMGN,4.71,3.96,4.97,5.58,26
AXP,2.62,3.33,4.15,3.49,23
HD,2.82,3.63,4.67,3.78,20
UNH,6.16,6.91,6.8,7.15,16
SHW,1.81,2.17,3.7,3.37,13
JPM,3.04,4.44,6.12,4.37,10
MRK,0.03,2.07,2.28,1.57,7
GS,5.48,11.58,8.62,8.4,3
