Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo;Weighted Change;Relative Strength Rating
NVDA;140.15;132.75;117.0;86.38;61.51;5.57;19.79;62.25;127.85;44.21;96
GS;587.99;514.74;502.99;418.68;373.72;14.23;16.9;40.44;57.33;28.63;93
WMT;84.08;81.72;68.21;58.78;54.35;2.89;23.27;43.04;54.7;25.36;90
MMM;129.48;127.11;125.32;93.28;75.06;1.86;3.32;38.81;72.5;23.67;86
JPM;245.03;220.57;210.34;188.42;170.29;11.09;16.49;30.04;43.89;22.52;83
AXP;285.54;269.38;251.63;232.01;198.36;6.0;13.48;23.07;43.95;18.5;80
TRV;262.69;244.87;214.43;209.24;207.31;7.28;22.51;25.54;26.71;17.86;76
CRM;322.25;290.91;257.99;267.75;279.85;10.77;24.91;20.35;15.15;16.39;73
DIS;113.54;96.2;93.26;110.59;95.3;18.02;21.75;2.67;19.14;15.92;70
CSCO;57.31;54.35;47.67;45.85;48.6;5.45;20.22;24.99;17.92;14.81;67
HON;227.73;203.56;201.57;188.7;196.87;11.87;12.98;20.68;15.68;14.62;63
AMZN;201.7;186.4;186.98;175.0;155.2;8.21;7.87;15.26;29.96;13.9;60
SHW;374.66;357.39;348.66;297.12;301.16;4.83;7.46;26.1;24.41;13.53;57
HD;410.44;391.37;363.41;327.95;344.03;4.87;12.94;25.15;19.3;13.43;53
V;311.57;288.72;264.15;266.57;270.61;7.91;17.95;16.88;15.14;13.16;50
AAPL;227.77;225.4;221.28;169.5;183.26;1.05;2.93;34.38;24.29;12.74;47
CAT;384.46;374.85;343.56;330.81;295.57;2.56;11.9;16.22;30.07;12.66;43
IBM;206.46;203.33;187.13;160.4;175.26;1.54;10.33;28.72;17.8;11.99;40
UNH;589.65;562.51;571.7;478.07;504.06;4.82;3.14;23.34;16.98;10.62;37
CVX;159.14;145.69;155.52;154.61;139.87;9.23;2.33;2.93;13.78;7.5;34
PG;170.75;164.21;158.86;160.24;153.32;3.98;7.48;6.56;11.37;6.67;30
VZ;42.25;41.48;39.25;37.65;39.7;1.86;7.64;12.22;6.42;6.0;27
MCD;291.1;290.42;262.16;268.18;285.8;0.23;11.04;8.55;1.85;4.38;24
MSFT;415.76;405.62;416.85;387.21;394.62;2.5;-0.26;7.37;5.36;3.49;20
JNJ;154.77;158.66;155.4;141.28;154.03;-2.45;-0.41;9.55;0.48;0.94;17
KO;61.86;64.87;65.78;60.39;57.71;-4.64;-5.96;2.43;7.19;-1.12;14
AMGN;276.55;315.42;325.24;265.91;302.66;-12.32;-14.97;4.0;-8.63;-8.85;10
NKE;74.89;76.79;74.24;91.17;99.99;-2.47;0.88;-17.86;-25.1;-9.4;7
MRK;96.56;101.64;111.71;126.79;117.66;-5.0;-13.56;-23.84;-17.93;-13.07;4
BA;143.87;149.31;190.6;167.84;211.04;-3.64;-24.52;-14.28;-31.83;-15.58;1
