Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo;Weighted Change;Relative Strength Rating
PLTR;61.26;41.56;26.89;21.97;16.09;47.4;127.82;178.83;280.73;136.44;99
UAL;90.38;78.26;45.42;51.46;41.38;15.49;98.99;75.63;118.41;64.8;99
TRGP;199.0;166.21;133.92;112.19;83.08;19.73;48.6;77.38;139.53;60.99;99
VST;146.63;124.66;78.83;75.2;40.46;17.62;86.01;94.99;262.41;95.73;99
AXON;600.0;423.5;300.01;313.66;249.06;41.68;99.99;91.29;140.91;83.11;99
NVDA;140.15;132.75;117.0;86.38;61.51;5.57;19.79;62.25;127.85;44.21;98
HWM;113.09;99.56;95.49;66.55;56.03;13.59;18.43;69.93;101.84;43.48;98
TSLA;338.74;249.85;232.07;183.28;187.29;35.58;45.96;84.82;80.86;56.56;98
RCL;231.76;205.87;156.35;139.3;127.2;12.58;48.23;66.37;82.2;44.39;98
FICO;2272.31;1993.11;1600.0;1133.33;1198.83;14.01;42.02;100.5;89.54;52.02;98
KMI;27.78;24.23;20.61;17.55;15.98;14.65;34.79;58.29;73.84;39.24;97
WMB;57.86;51.82;42.0;37.03;33.04;11.66;37.76;56.25;75.12;38.49;97
OKE;111.36;94.75;81.5;76.44;65.01;17.53;36.64;45.68;71.3;37.74;97
ORCL;185.73;167.46;138.75;112.81;110.35;10.91;33.86;64.64;68.31;37.73;97
KKR;152.26;137.85;122.89;92.49;85.83;10.45;23.9;64.62;77.4;37.36;97
CCL;24.51;22.0;16.66;14.82;16.58;11.41;47.12;65.38;47.83;36.63;96
TPR;56.55;47.05;39.43;38.97;37.46;20.19;43.42;45.11;50.96;35.97;96
FTNT;91.88;78.66;58.04;63.18;64.49;16.81;58.3;45.43;42.47;35.96;96
SYF;63.76;54.59;50.0;43.02;38.02;16.8;27.52;48.21;67.7;35.41;96
IP;57.23;54.54;45.14;33.49;33.85;4.93;26.78;70.89;69.07;35.32;96
MTB;214.82;193.15;169.3;140.66;133.16;11.22;26.89;52.72;61.32;32.67;95
NFLX;847.05;756.03;628.35;550.64;564.11;12.04;34.81;53.83;50.16;32.58;95
MS;133.78;115.34;101.49;88.51;84.17;15.99;31.82;51.15;58.94;34.78;95
DFS;173.22;147.65;142.43;124.65;102.96;17.32;21.62;38.97;68.24;32.69;95
GDDY;185.02;166.8;145.45;122.38;106.66;10.92;27.21;51.18;73.47;34.74;95
LYV;132.6;117.14;96.19;88.91;88.85;13.2;37.85;49.14;49.24;32.53;94
BX;183.01;166.89;140.6;113.7;121.34;9.66;30.16;60.96;50.82;32.25;94
DAL;63.24;57.05;42.66;49.54;38.72;10.85;48.24;27.65;63.33;32.18;94
GRMN;209.27;197.54;169.75;142.5;117.18;5.94;23.28;46.86;78.59;32.12;94
RJF;163.42;147.68;115.15;120.68;108.55;10.66;41.92;35.42;50.55;29.84;94
MSI;490.35;448.35;397.0;336.55;316.1;9.37;23.51;45.7;55.12;28.61;93
BKNG;5017.78;4665.43;3697.9;3427.36;3482.41;7.55;35.69;46.4;44.09;28.26;93
AMP;563.39;506.94;425.72;406.22;380.04;11.14;32.34;38.69;48.24;28.31;93
GS;587.99;514.74;502.99;418.68;373.72;14.23;16.9;40.44;57.33;28.63;93
PODD;260.68;231.53;194.35;171.94;190.87;12.59;34.13;51.61;36.57;29.5;93
NRG;92.81;89.5;74.42;71.55;51.83;3.7;24.71;29.71;79.07;28.18;92
TMUS;237.03;222.44;181.0;162.37;158.77;6.56;30.96;45.98;49.29;27.87;92
FOX;42.75;38.68;35.18;28.2;29.51;10.52;21.52;51.6;44.87;27.81;92
TT;409.27;369.25;332.58;314.79;249.18;10.84;23.06;30.01;64.25;27.8;92
PWR;328.41;301.54;265.21;258.3;193.78;8.91;23.83;27.14;69.48;27.65;92
K;80.6;80.08;57.2;56.35;52.75;0.65;40.91;43.03;52.8;27.61;91
WELL;136.33;133.45;109.39;93.08;83.92;2.16;24.63;46.47;62.45;27.57;91
CMI;364.02;327.02;288.37;277.38;233.21;11.31;26.23;31.24;56.09;27.24;91
HBAN;17.8;15.42;14.61;13.0;12.15;15.43;21.83;36.92;46.5;27.22;91
WFC;73.67;64.06;58.22;57.79;48.46;15.0;26.54;27.48;52.02;27.21;91
NCLH;26.1;25.34;18.43;18.92;17.8;3.0;41.62;37.95;46.63;26.44;90
CHRW;109.99;102.41;87.89;69.5;81.7;7.4;25.15;58.26;34.63;26.57;90
RF;26.33;23.62;21.86;18.58;17.75;11.47;20.45;41.71;48.34;26.69;90
JCI;83.65;75.18;70.8;64.03;51.49;11.27;18.15;30.64;62.46;26.76;90
FI;212.74;197.9;163.57;152.67;141.87;7.5;30.06;39.35;49.95;26.87;90
IRM;115.5;122.97;101.18;75.86;65.44;-6.07;14.15;52.25;76.5;26.15;89
GNRC;181.94;165.55;155.68;135.96;113.67;9.9;16.87;33.82;60.06;26.11;89
BKR;42.83;37.64;38.02;31.8;27.63;13.79;12.65;34.69;55.01;25.99;89
FOXA;45.38;41.72;37.79;30.53;31.8;8.77;20.08;48.64;42.7;25.79;89
EXPE;180.4;156.31;127.67;134.63;148.33;15.41;41.3;34.0;21.62;25.55;89
ETR;148.07;152.06;112.72;102.5;94.74;-2.62;31.36;44.46;56.29;25.37;88
WMT;84.08;81.72;68.21;58.78;54.35;2.89;23.27;43.04;54.7;25.36;88
CBRE;132.67;130.97;112.71;86.89;86.31;1.3;17.71;52.69;53.71;25.34;88
KEY;19.23;17.04;15.71;13.91;13.71;12.85;22.41;38.25;40.26;25.32;88
CFG;46.57;41.7;41.83;33.04;31.29;11.68;11.33;40.95;48.83;24.89;88
MO;56.34;53.41;47.04;41.13;36.8;5.49;19.77;36.98;53.1;24.17;87
PH;690.05;630.82;556.65;538.97;457.79;9.39;23.96;28.03;50.74;24.3;87
NTRS;108.93;99.68;87.11;80.21;76.82;9.28;25.05;35.81;41.8;24.24;87
AIZ;221.6;191.0;173.51;172.3;165.2;16.02;27.72;28.61;34.14;24.5;87
GM;56.25;50.63;44.09;44.17;38.38;11.1;27.58;27.35;46.56;24.74;87
BK;78.65;74.9;64.19;55.32;53.89;5.01;22.53;42.17;45.95;24.13;86
PNC;206.83;186.7;177.89;149.03;145.54;10.78;16.27;38.78;42.11;23.74;86
MMM;129.48;127.11;125.32;93.28;75.06;1.86;3.32;38.81;72.5;23.67;86
DELL;136.01;123.19;112.89;123.29;81.62;10.41;20.48;10.32;66.64;23.65;86
PKG;238.11;227.58;197.34;169.63;161.46;4.63;20.66;40.37;47.47;23.55;86
BLK;1049.97;975.26;865.64;740.69;754.96;7.66;21.29;41.76;39.08;23.49;85
