No.,Symbol,Company Name,Market Cap
1,NVDA,NVIDIA Corporation,3620873300000
2,AAPL,Apple Inc.,3430304073000
3,MSFT,Microsoft Corporation,3174322016000
4,AMZN,"Amazon.com, Inc.",2234437500000
5,JPM,JPMorgan Chase & Co.,685577520100
6,WMT,Walmart Inc.,685743107500
7,V,Visa Inc.,592679377734
8,UNH,UnitedHealth Group Incorporated,544766715220
9,HD,"The Home Depot, Inc.",408640740200
10,PG,The Procter & Gamble Company,394704704000
11,JNJ,Johnson & Johnson,365621173200
12,CRM,"Salesforce, Inc.",320105988400
13,CVX,Chevron Corporation,290373802200
14,KO,The Coca-Cola Company,269517507000
15,MRK,"Merck & Co., Inc.",250598786600
16,CSCO,"Cisco Systems, Inc.",231408391100
17,MCD,McDonald's Corporation,214237132100
18,AXP,American Express Company,204232623956
19,DIS,The Walt Disney Company,198687852450
20,GS,"The Goldman Sachs Group, Inc.",184736035000
21,IBM,International Business Machines Corporation,191715894300
22,CAT,Caterpillar Inc.,187873131390
23,VZ,Verizon Communications Inc.,172763215200
24,AMGN,Amgen Inc.,159878440190
25,HON,Honeywell International Inc.,150389126160
26,NKE,"NIKE, Inc.",113881505293
27,BA,The Boeing Company,105468022080
28,SHW,The Sherwin-Williams Company,97736593710
29,MMM,3M Company,72224860170
30,TRV,"The Travelers Companies, Inc.",58345018095
