Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
NVDA;140.15;132.75;117.00;86.38;61.51;5.57;19.79;62.25;127.85
AAPL;227.77;225.40;221.28;169.50;183.26;1.05;2.93;34.38;24.29
MSFT;415.76;405.62;416.85;387.21;394.62;2.50;-0.26;7.37;5.36
AMZN;201.70;186.40;186.98;175.00;155.20;8.21;7.87;15.26;29.96
GOOG;176.80;172.46;172.73;164.24;141.45;2.52;2.36;7.65;24.99
GOOGL;175.30;170.88;171.12;162.38;139.75;2.59;2.44;7.96;25.44
META;554.40;567.04;473.91;428.88;388.97;-2.23;16.98;29.27;42.53
TSLA;338.74;249.85;232.07;183.28;187.29;35.58;45.96;84.82;80.86
AVGO;165.67;169.21;159.65;128.64;116.21;-2.09;3.77;28.79;42.56
COST;918.29;873.02;819.74;718.70;674.25;5.19;12.02;27.77;36.19
NFLX;847.05;756.03;628.35;550.64;564.11;12.04;34.81;53.83;50.16
ASML;665.23;670.99;932.80;865.52;860.69;-0.86;-28.68;-23.14;-22.71
TMUS;237.03;222.44;181.00;162.37;158.77;6.56;30.96;45.98;49.29
ADBE;499.51;478.08;551.65;462.83;617.78;4.48;-9.45;7.93;-19.14
CSCO;57.31;54.35;47.67;45.85;48.60;5.45;20.22;24.99;17.92
PEP;158.33;164.82;170.02;171.90;163.44;-3.94;-6.88;-7.89;-3.13
AMD;138.93;144.07;144.48;158.38;167.69;-3.57;-3.84;-12.28;-17.15
LIN;448.57;454.81;450.72;436.97;399.93;-1.37;-0.48;2.65;12.16
AZN;63.39;70.72;78.67;74.28;65.23;-10.36;-19.42;-14.66;-2.82
INTU;678.81;609.28;645.37;622.84;627.58;11.41;5.18;8.99;8.16
ISRG;531.64;503.84;444.61;370.62;378.22;5.52;19.57;43.45;40.56
TXN;207.18;201.83;199.73;172.89;155.68;2.65;3.73;19.83;33.08
QCOM;164.50;161.93;179.28;163.49;145.47;1.59;-8.24;0.62;13.08
CMCSA;43.00;43.35;40.63;37.24;45.18;-0.81;5.83;15.47;-4.83
BKNG;5017.78;4665.43;3697.90;3427.36;3482.41;7.55;35.69;46.40;44.09
AMGN;276.55;315.42;325.24;265.91;302.66;-12.32;-14.97;4.00;-8.63
PDD;117.31;120.59;128.89;125.18;126.87;-2.72;-8.98;-6.29;-7.54
AMAT;170.73;181.23;211.41;197.57;163.06;-5.79;-19.24;-13.59;4.70
HON;227.73;203.56;201.57;188.70;196.87;11.87;12.98;20.68;15.68
ARM;128.66;141.30;144.17;101.21;70.67;-8.95;-10.76;27.12;82.06
PANW;386.83;360.33;324.73;290.89;338.51;7.35;19.12;32.98;14.27
VRTX;467.01;475.98;495.72;392.81;433.38;-1.88;-5.79;18.89;7.76
ADP;297.89;287.79;259.80;237.92;240.29;3.51;14.66;25.21;23.97
GILD;88.46;88.00;74.44;63.17;75.14;0.52;18.83;40.03;17.73
SBUX;99.78;96.52;76.43;86.24;90.17;3.38;30.55;15.70;10.66
MU;97.51;99.54;109.60;112.63;85.38;-2.04;-11.03;-13.42;14.21
INTC;24.84;21.38;30.42;30.07;42.37;16.18;-18.34;-17.39;-41.37
ADI;209.65;222.24;229.56;198.10;189.06;-5.67;-8.67;5.83;10.89
LRCX;70.57;72.10;89.16;86.38;79.48;-2.12;-20.85;-18.30;-11.21
MELI;1916.12;2037.18;1668.90;1458.70;1711.81;-5.94;14.81;31.36;11.94
MDLZ;63.84;68.05;67.48;70.60;73.43;-6.19;-5.39;-9.58;-13.06
CTAS;215.81;203.76;188.71;162.26;147.51;5.91;14.36;33.00;46.30
KLAC;618.54;663.17;817.63;683.22;587.19;-6.73;-24.35;-9.47;5.34
PYPL;84.67;79.30;65.78;67.92;61.35;6.77;28.72;24.66;38.01
CRWD;342.97;296.87;231.96;292.54;292.50;15.53;47.86;17.24;17.25
SNPS;523.98;513.61;558.32;530.59;533.35;2.02;-6.15;-1.25;-1.76
REGN;762.00;838.20;1079.19;890.66;942.78;-9.09;-29.39;-14.45;-19.18
ABNB;132.19;134.79;139.56;158.57;144.14;-1.93;-5.28;-16.64;-8.29
CDNS;294.33;276.12;267.66;275.63;288.46;6.59;9.96;6.78;2.03
MRVL;88.71;80.04;66.87;65.75;67.46;10.83;32.66;34.92;31.50
MAR;281.45;259.28;226.05;234.33;237.30;8.55;24.51;20.11;18.61
FTNT;91.88;78.66;58.04;63.18;64.49;16.81;58.30;45.43;42.47
DASH;172.73;156.70;110.72;129.26;104.20;10.23;56.01;33.63;65.77
WDAY;259.36;233.85;227.12;244.73;291.07;10.91;14.20;5.98;-10.89
ORLY;1216.67;1153.14;1126.34;1013.26;1023.05;5.51;8.02;20.07;18.93
CEG;229.92;262.06;188.86;184.66;120.88;-12.26;21.74;24.51;90.21
CSX;34.97;33.52;34.85;32.88;35.21;4.33;0.34;6.36;-0.68
ADSK;302.05;283.80;247.52;212.85;253.81;6.43;22.03;41.91;19.01
TEAM;238.69;188.54;176.57;172.30;249.77;26.60;35.18;38.53;-4.44
CHTR;385.02;327.61;379.72;255.94;370.71;17.52;1.40;50.43;3.86
TTD;117.26;120.21;89.88;82.85;68.43;-2.45;30.46;41.53;71.36
ROP;549.37;536.98;543.27;509.36;534.03;2.31;1.12;7.85;2.87
PCAR;111.59;103.68;97.82;104.93;95.74;7.63;14.08;6.35;16.56
NXPI;220.19;233.47;261.07;253.06;207.04;-5.69;-15.66;-12.99;6.35
CPRT;56.63;51.47;52.33;54.31;48.04;10.03;8.22;4.27;17.88
MNST;53.27;52.68;51.45;53.45;55.02;1.12;3.54;-0.34;-3.18
FANG;181.00;173.80;196.96;192.56;144.07;4.14;-8.10;-6.00;25.63
PAYX;140.83;137.31;125.14;115.30;117.22;2.56;12.54;22.14;20.14
AEP;95.56;96.92;95.36;82.66;74.24;-1.40;0.21;15.61;28.72
ODFL;213.99;201.05;209.58;180.98;194.53;6.44;2.10;18.24;10.00
ROST;141.30;139.38;142.52;128.58;138.88;1.38;-0.86;9.89;1.74
FAST;81.80;77.78;69.99;66.82;66.31;5.17;16.87;22.42;23.36
KDP;31.24;32.75;33.86;33.05;30.63;-4.61;-7.74;-5.48;1.99
DDOG;125.97;125.44;116.44;125.50;124.44;0.42;8.18;0.37;1.23
EA;164.01;150.66;150.53;126.31;136.83;8.86;8.96;29.85;19.86
BKR;42.83;37.64;38.02;31.80;27.63;13.79;12.65;34.69;55.01
LULU;309.53;297.90;258.66;360.60;453.82;3.90;19.67;-14.16;-31.79
VRSK;280.36;274.32;260.98;216.96;240.09;2.20;7.43;29.22;16.77
CTSH;76.87;74.30;75.06;64.89;75.88;3.46;2.41;18.46;1.30
XEL;69.94;66.24;57.20;52.17;57.65;5.59;22.27;34.06;21.32
KHC;31.07;33.08;34.41;37.30;35.47;-6.08;-9.71;-16.70;-12.40
EXC;38.84;38.51;36.09;36.08;33.11;0.86;7.62;7.65;17.31
GEHC;82.72;87.32;84.57;76.16;73.25;-5.27;-2.19;8.61;12.93
CCEP;74.74;74.71;71.74;70.03;65.66;0.04;4.18;6.73;13.83
MCHP;65.25;72.97;87.88;90.56;83.43;-10.58;-25.75;-27.95;-21.79
IDXX;419.83;406.92;476.12;492.76;515.08;3.17;-11.82;-14.80;-18.49
TTWO;182.93;161.72;150.53;142.81;164.93;13.12;21.52;28.09;10.91
ZS;202.85;180.79;179.35;172.94;235.67;12.20;13.10;17.30;-13.93
CSGP;73.35;72.79;78.02;91.53;83.48;0.77;-5.99;-19.86;-12.13
ANSS;336.40;320.41;313.63;324.88;327.83;4.99;7.26;3.55;2.61
