No.,Symbol,Company Name,Market Cap
1,NVDA,NVIDIA Corporation,3620873300000
2,AAPL,Apple Inc.,3430304073000
3,MSFT,Microsoft Corporation,3174322016000
4,AMZN,"Amazon.com, Inc.",2234437500000
5,GOOG,Alphabet Inc.,2154118602196
6,GOOGL,Alphabet Inc.,2158363642706
7,META,"Meta Platforms, Inc.",1456830561599
8,BRK.B,Berkshire Hathaway Inc.,1009471651840
9,TSLA,"Tesla, Inc.",1028099719458
10,AVGO,Broadcom Inc.,800794293900
11,LLY,Eli Lilly and Company,754150870140
12,JPM,JPMorgan Chase & Co.,685577520100
13,WMT,Walmart Inc.,685743107500
14,V,Visa Inc.,592679377734
15,UNH,UnitedHealth Group Incorporated,544766715220
16,XOM,Exxon Mobil Corporation,529959952200
17,ORCL,Oracle Corporation,520911063556
18,MA,Mastercard Incorporated,474145820800
19,COST,Costco Wholesale Corporation,411017596100
20,HD,"The Home Depot, Inc.",408640740200
21,PG,The Procter & Gamble Company,394704704000
22,JNJ,Johnson & Johnson,365621173200
23,NFLX,"Netflix, Inc.",357949054620
24,BAC,Bank of America Corporation,351878276800
25,CRM,"Salesforce, Inc.",320105988400
26,ABBV,AbbVie Inc.,299848315200
27,CVX,Chevron Corporation,290373802200
28,TMUS,"T-Mobile US, Inc.",277020567900
29,KO,The Coca-Cola Company,269517507000
30,MRK,"Merck & Co., Inc.",250598786600
31,WFC,Wells Fargo & Company,242603288850
32,ADBE,Adobe Inc.,233301598000
33,CSCO,"Cisco Systems, Inc.",231408391100
34,PEP,"PepsiCo, Inc.",228038457900
35,ACN,Accenture plc,228609816160
36,AMD,"Advanced Micro Devices, Inc.",226674100800
37,BX,Blackstone Inc.,225378372553
38,LIN,Linde plc,217061385880
39,NOW,"ServiceNow, Inc.",213789890000
40,MCD,McDonald's Corporation,214237132100
41,MS,Morgan Stanley,213406413600
42,TMO,Thermo Fisher Scientific Inc.,205290504000
43,AXP,American Express Company,204232623956
44,ABT,Abbott Laboratories,200468886800
45,PM,Philip Morris International Inc.,197136895700
46,DIS,The Walt Disney Company,198687852450
47,INTU,Intuit Inc.,196210005840
48,GS,"The Goldman Sachs Group, Inc.",184736035000
49,IBM,International Business Machines Corporation,191715894300
50,GE,General Electric Company,194292700800
51,ISRG,"Intuitive Surgical, Inc.",193081074110
52,TXN,Texas Instruments Incorporated,187847282286
53,CAT,Caterpillar Inc.,187873131390
54,QCOM,QUALCOMM Incorporated,181494959800
55,DHR,Danaher Corporation,173020976250
56,VZ,Verizon Communications Inc.,172763215200
57,CMCSA,Comcast Corporation,165528541500
58,BKNG,Booking Holdings Inc.,164499369626
59,BLK,"BlackRock, Inc.",162283764990
