Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
NVDA;140.15;132.75;117.00;86.38;61.51;5.57;19.79;62.25;127.85
AAPL;227.77;225.40;221.28;169.50;183.26;1.05;2.93;34.38;24.29
MSFT;415.76;405.62;416.85;387.21;394.62;2.50;-0.26;7.37;5.36
AMZN;201.70;186.40;186.98;175.00;155.20;8.21;7.87;15.26;29.96
GOOG;176.80;172.46;172.73;164.24;141.45;2.52;2.36;7.65;24.99
GOOGL;175.30;170.88;171.12;162.38;139.75;2.59;2.44;7.96;25.44
META;554.40;567.04;473.91;428.88;388.97;-2.23;16.98;29.27;42.53
BRK.B;;;;;;;;;
TSLA;338.74;249.85;232.07;183.28;187.29;35.58;45.96;84.82;80.86
AVGO;165.67;169.21;159.65;128.64;116.21;-2.09;3.77;28.79;42.56
LLY;726.00;827.21;800.46;776.04;640.24;-12.24;-9.30;-6.45;13.39
JPM;245.03;220.57;210.34;188.42;170.29;11.09;16.49;30.04;43.89
WMT;84.08;81.72;68.21;58.78;54.35;2.89;23.27;43.04;54.70
V;311.57;288.72;264.15;266.57;270.61;7.91;17.95;16.88;15.14
UNH;589.65;562.51;571.70;478.07;504.06;4.82;3.14;23.34;16.98
XOM;119.33;114.90;115.74;114.37;98.52;3.86;3.10;4.34;21.12
ORCL;185.73;167.46;138.75;112.81;110.35;10.91;33.86;64.64;68.31
MA;521.63;498.93;462.41;449.31;446.65;4.55;12.81;16.10;16.79
COST;918.29;873.02;819.74;718.70;674.25;5.19;12.02;27.77;36.19
HD;410.44;391.37;363.41;327.95;344.03;4.87;12.94;25.15;19.30
PG;170.75;164.21;158.86;160.24;153.32;3.98;7.48;6.56;11.37
JNJ;154.77;158.66;155.40;141.28;154.03;-2.45;-0.41;9.55;0.48
NFLX;847.05;756.03;628.35;550.64;564.11;12.04;34.81;53.83;50.16
BAC;46.72;41.55;39.81;36.29;33.09;12.44;17.36;28.74;41.19
CRM;322.25;290.91;257.99;267.75;279.85;10.77;24.91;20.35;15.15
ABBV;166.28;202.25;182.18;158.40;158.60;-17.78;-8.73;4.97;4.84
CVX;159.14;145.69;155.52;154.61;139.87;9.23;2.33;2.93;13.78
TMUS;237.03;222.44;181.00;162.37;158.77;6.56;30.96;45.98;49.29
KO;61.86;64.87;65.78;60.39;57.71;-4.64;-5.96;2.43;7.19
MRK;96.56;101.64;111.71;126.79;117.66;-5.00;-13.56;-23.84;-17.93
WFC;73.67;64.06;58.22;57.79;48.46;15.00;26.54;27.48;52.02
ADBE;499.51;478.08;551.65;462.83;617.78;4.48;-9.45;7.93;-19.14
CSCO;57.31;54.35;47.67;45.85;48.60;5.45;20.22;24.99;17.92
PEP;158.33;164.82;170.02;171.90;163.44;-3.94;-6.88;-7.89;-3.13
ACN;352.79;343.42;327.84;297.23;358.12;2.73;7.61;18.69;-1.49
AMD;138.93;144.07;144.48;158.38;167.69;-3.57;-3.84;-12.28;-17.15
BX;183.01;166.89;140.60;113.70;121.34;9.66;30.16;60.96;50.82
LIN;448.57;454.81;450.72;436.97;399.93;-1.37;-0.48;2.65;12.16
NOW;1005.34;932.99;814.39;693.33;765.40;7.75;23.45;45.00;31.35
MCD;291.10;290.42;262.16;268.18;285.80;0.23;11.04;8.55;1.85
MS;133.78;115.34;101.49;88.51;84.17;15.99;31.82;51.15;58.94
TMO;501.29;545.97;612.53;567.60;537.55;-8.18;-18.16;-11.68;-6.75
AXP;285.54;269.38;251.63;232.01;198.36;6.00;13.48;23.07;43.95
ABT;117.36;112.84;104.89;104.40;110.94;4.01;11.89;12.41;5.79
PM;131.72;131.23;112.42;91.41;86.28;0.37;17.17;44.10;52.67
DIS;113.54;96.20;93.26;110.59;95.30;18.02;21.75;2.67;19.14
INTU;678.81;609.28;645.37;622.84;627.58;11.41;5.18;8.99;8.16
GS;587.99;514.74;502.99;418.68;373.72;14.23;16.90;40.44;57.33
IBM;206.46;203.33;187.13;160.40;175.26;1.54;10.33;28.72;17.80
GE;177.52;171.53;169.66;161.02;105.09;3.49;4.63;10.25;68.92
ISRG;531.64;503.84;444.61;370.62;378.22;5.52;19.57;43.45;40.56
TXN;207.18;201.83;199.73;172.89;155.68;2.65;3.73;19.83;33.08
CAT;384.46;374.85;343.56;330.81;295.57;2.56;11.90;16.22;30.07
QCOM;164.50;161.93;179.28;163.49;145.47;1.59;-8.24;0.62;13.08
DHR;230.06;245.42;276.51;245.85;238.91;-6.26;-16.80;-6.42;-3.70
VZ;42.25;41.48;39.25;37.65;39.70;1.86;7.64;12.22;6.42
CMCSA;43.00;43.35;40.63;37.24;45.18;-0.81;5.83;15.47;-4.83
BKNG;5017.78;4665.43;3697.90;3427.36;3482.41;7.55;35.69;46.40;44.09
BLK;1049.97;975.26;865.64;740.69;754.96;7.66;21.29;41.76;39.08
T;22.99;22.25;18.72;16.16;16.66;3.33;22.81;42.26;38.00
AMGN;276.55;315.42;325.24;265.91;302.66;-12.32;-14.97;4.00;-8.63
RTX;118.76;119.71;115.55;99.19;88.38;-0.79;2.78;19.73;34.37
SPGI;503.00;479.49;482.83;413.34;444.70;4.90;4.18;21.69;13.11
NEE;76.39;78.74;75.41;65.51;56.89;-2.98;1.30;16.61;34.28
LOW;271.77;260.72;243.29;224.86;208.86;4.24;11.71;20.86;30.12
AMAT;170.73;181.23;211.41;197.57;163.06;-5.79;-19.24;-13.59;4.70
PGR;256.52;242.73;213.93;207.97;177.12;5.68;19.91;23.34;44.83
UBER;69.33;72.05;64.47;66.27;65.27;-3.78;7.54;4.62;6.22
HON;227.73;203.56;201.57;188.70;196.87;11.87;12.98;20.68;15.68
PFE;24.48;27.87;29.21;24.51;25.18;-12.16;-16.19;-0.12;-2.78
SCHW;81.11;70.31;64.50;72.87;61.72;15.36;25.75;11.31;31.42
SYK;389.40;355.49;325.96;334.20;332.29;9.54;19.46;16.52;17.19
ETN;356.83;329.54;302.01;314.38;242.11;8.28;18.15;13.50;47.38
UNP;234.41;230.84;244.03;233.36;238.69;1.55;-3.94;0.45;-1.79
TJX;119.30;112.29;111.86;92.81;93.27;6.24;6.65;28.54;27.91
PLTR;61.26;41.56;26.89;21.97;16.09;47.40;127.82;178.83;280.73
KKR;152.26;137.85;122.89;92.49;85.83;10.45;23.90;64.62;77.40
COP;112.97;108.00;108.94;122.20;108.28;4.60;3.70;-7.55;4.33
BSX;90.45;84.02;73.88;71.87;63.26;7.65;22.43;25.85;42.98
PANW;386.83;360.33;324.73;290.89;338.51;7.35;19.12;32.98;14.27
C;68.39;63.00;63.15;59.13;53.46;8.56;8.30;15.66;27.93
LMT;530.96;543.02;535.31;455.91;418.10;-2.22;-0.81;16.46;26.99
VRTX;467.01;475.98;495.72;392.81;433.38;-1.88;-5.79;18.89;7.76
ADP;297.89;287.79;259.80;237.92;240.29;3.51;14.66;25.21;23.97
ANET;370.47;386.44;346.55;256.56;258.68;-4.13;6.90;44.40;43.22
FI;212.74;197.90;163.57;152.67;141.87;7.50;30.06;39.35;49.95
BMY;56.80;55.15;46.33;42.31;46.52;2.99;22.60;34.25;22.10
CB;288.73;281.55;273.84;246.18;241.66;2.55;5.44;17.28;19.48
GILD;88.46;88.00;74.44;63.17;75.14;0.52;18.83;40.03;17.73
UPS;133.49;130.77;125.77;140.69;133.80;2.08;6.14;-5.12;-0.23
NKE;74.89;76.79;74.24;91.17;99.99;-2.47;0.88;-17.86;-25.10
SBUX;99.78;96.52;76.43;86.24;90.17;3.38;30.55;15.70;10.66
MDT;87.59;88.55;78.99;78.26;84.67;-1.08;10.89;11.92;3.45
